record_id,legal_source_id,instrument,publication_date,effective_date,category,article,subject,legal_rule,value,unit,status,notes
DL127_STATE_FIN_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-01-01,state_financing,Artigo 3.º n.os 4-5,State financing obligation,The State finances the pensions and administrative charges through a specific transfer to Social Security outside ordinary Social Security Basic Law appropriations,,,official_detail_registered,Required extraction field
DL127_BANK_RETAINED_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-01-01,liabilities_retained_by_banks,Artigo 4.º n.º 1,retained bank liabilities,Institutions retain responsibility for pension updates; employer SAMS contributions on retirement and survivor pensions; death grant; survivor pensions to children; survivor pensions to children and surviving spouse for the same worker; and deferred survivor pensions for relatives of current retirees where award conditions occur from 1 January 2012,,,official_detail_registered,Required extraction field
DL127_BANK_RETAINED_2,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-01-01,liabilities_retained_by_banks,Artigo 4.º n.º 2,complementary benefits,Complementary pension benefits remain unchanged and are not covered by the Social Security responsibility assumed under the diploma,,,official_detail_registered,Required extraction field
DL127_ASSET_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,assets_transferred,Artigo 5.º n.os 1-2,asset ownership transfer,Ownership of pension-fund assets allocated to the assumed responsibilities is transferred to the State as consideration enabling Social Security to fulfil the assumed obligations,,,official_detail_registered,Required extraction field
DL127_VALUATION_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,valuation_method,Artigo 6.º n.º 1,actuarial equivalence,Assets transferred to the State must equal the value of the responsibilities assumed by Social Security,,,official_detail_registered,Required extraction field
DL127_VALUATION_2,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,legal_discount_rate,Artigo 6.º n.º 1 alínea a),discount rate,The legal discount rate for valuing transferred responsibilities is 4 percent,0.04,rate,official_detail_registered,Required extraction field
DL127_VALUATION_3,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,mortality_table,Artigo 6.º n.º 1 alínea b),male mortality table,Male population mortality table is TV 73/77 minus 1 year,TV 73/77 menos 1 ano,text,official_detail_registered,Required extraction field
DL127_VALUATION_4,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,mortality_table,Artigo 6.º n.º 1 alínea b),female mortality table,Female population mortality table is TV 88/90,TV 88/90,text,official_detail_registered,Required extraction field
DL127_VALUATION_5,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,valuation_date,Artigo 6.º n.º 2 alínea a),provisional valuation date,Institutions calculate provisional responsibility values as of 31 December 2011 and communicate them to the Ministry of Finance by 15 December 2011,2011-12-31,date,official_detail_registered,Required extraction field
DL127_VALUATION_6,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,independent_valuation,Artigo 6.º n.os 2-3,independent valuation procedure,Definitive value is determined by an independent entity contracted by the Ministry of Finance; if the difference from provisional values exceeds 0.5 percent the definitive value is fixed by an independent entity chosen by agreement between the institution and Ministry with remuneration split equally,0.005,rate,official_detail_registered,Required extraction field
DL127_ASSET_2,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,asset_composition_constraint,Artigo 6.º n.º 4,public debt limit,Transferred assets may be cash and up to 50 percent Portuguese public debt securities valued at market value using the average of the three business days before transfer,0.50,share_of_assets,official_detail_registered,Required extraction field
DL127_SCHEDULE_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,transfer_schedule,Artigo 6.º n.º 5 alínea a),first transfer,By 31 December 2011 institutions must transfer at least 55 percent of the provisional present value,0.55,share_of_provisional_value,official_detail_registered,Required extraction field
DL127_SCHEDULE_2,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-06-30,transfer_schedule,Artigo 6.º n.º 5 alínea b),remaining transfer,By 30 June 2012 institutions must transfer the remainder needed to complete the definitive present value,2012-06-30,date,official_detail_registered,Required extraction field
DL127_SCHEDULE_3,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-06-30,transfer_schedule,Artigo 6.º n.º 6,provisional 95 percent rule,If definitive value is not yet available by the second transfer date institutions transfer assets needed to complete 95 percent of provisional present value with final adjustment within 30 days after definitive value is determined,0.95,share_of_provisional_value,official_detail_registered,Required extraction field
DL127_COORDINATION_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,asset_transfer_coordination,Artigo 6.º n.º 7,coordinating entity,Asset transfers are coordinated by Instituto de Gestão da Tesouraria e do Crédito Público I.P.,,,official_detail_registered,Procedural extraction
DL127_EXTINCTION_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,extinguishment_rule,Artigo 7.º,extinguishing covered bank liabilities,Transfer of the amounts under article 5 definitively and irreversibly extinguishes the institutions' responsibilities to retirees and pensioners assumed by Social Security and the State,,,official_detail_registered,Required extraction field
DL127_PAYMENT_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-01-01,payment_procedure,Artigo 8.º,pension payment procedure,Instituto da Segurança Social through Centro Nacional de Pensões ensures payment; institutions process payments to beneficiaries; IGFSS and IGCP transfer required amounts in advance under protocol,,,official_detail_registered,Procedural extraction
DL127_TAX_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-01-01,tax_treatment,Artigo 9.º,tax treatment,Undeducted costs and negative equity variations from transfer are deductible for corporate-tax purposes in equal parts over periods starting on or after 1 January 2012 based on average life expectancy of transferred pensioners,,,official_detail_registered,Context extraction
DL127_IMPERATIVE_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,imperative_rule,Artigo 10.º,mandatory legal character,The diploma has imperative character and cannot be displaced by collective labour regulation instruments,,,official_detail_registered,Context extraction
DL127_REMAINING_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,uncovered_rights,Artigo 11.º,rights outside transfer,Providential rights and obligations of pension-fund participants and beneficiaries not covered by the diploma are maintained,,,official_detail_registered,Context extraction
DL127_INST_01,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,Barclays Bank PLC - Sucursal em Portugal,Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_02,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"BANIF - Banco Internacional do Funchal, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_03,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_04,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco BPI, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_05,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Português de Investimento, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_06,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,Banco do Brasil AG - Sucursal em Portugal,Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_07,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Espírito Santo, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_08,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Espírito Santo de Investimento, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_09,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Espírito Santo dos Açores, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_10,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Credibom, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_11,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Popular Portugal, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_12,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Santander Totta, S. A. - fundo de pensões do ex-Crédito Predial Português e do ex-Banco Santander Portugal",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_13,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"BNP Paribas, S. A. - Sucursal em Portugal",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_14,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,Caixa Económica Montepio Geral,Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_15,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Comercial Português, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_16,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco de Investimento Imobiliário, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_17,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"Banco Activobank (Portugal), S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
DL127_INST_18,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,participating_institution,Anexo,"UNICRE - Instituição Financeira de Crédito, S. A.",Institution listed in DL127 annex,,,official_detail_registered,Required institution list
