"source_id","attempted_url","retrieval_date","raw_path","sha256","status","notes"
"CGA_REPORT_2011","https://www.cga.pt/documents/d/asset-library-43545/relatorio-e-contas-da-caixa-geral-de-aposentacoes-2011","2026-08-23","data/raw/cga/CGA_REPORT_2011.pdf","55539f9c57a7509a2111144dd364b926e3a2e1fbb53cac8bf90bff3a0f87550a","acquired","Downloaded official CGA 2011 annual report PDF from the CGA annual reports portal and computed SHA-256."
"IGFSS_CSS_ARCHIVE","https://www.seg-social.pt/ptss/pssd/menu/quem-somos/sobre-nos/orcamento-conta","2026-08-28","data/raw/source_catalogues/IGFSS_CSS_ARCHIVE.html","4401b2d662845f9cc191f5c287405cbbd0ed99524ffdf2916b0149891d66eb27","acquired","Refreshed registered URL capture and computed SHA-256."
"DGAEP_SIEP_ARCHIVE","https://www.dgaep.gov.pt/index.cfm?OBJID=ECA5D4CB-42B8-4692-A96C-8AAD63010A54","2026-08-21","data/raw/source_catalogues/DGAEP_SIEP_ARCHIVE.html","f3f429076031143c2eccf71e77370572143c7ddefe444c9987687a8f636c173f","acquired","Downloaded registered URL, normalized stored HTML line endings to LF, and computed SHA-256."
"DGAEP_BOEP_ARCHIVE","https://www.dgaep.gov.pt/index.cfm?OBJID=C0F56E62-5381-4271-B010-37ECE5B31017","2026-08-21","data/raw/source_catalogues/DGAEP_BOEP_ARCHIVE.html","b23c1a307e44a6e0f52bc4936b11e29503ea35e343bda646413cdd77770f07f1","acquired","Downloaded registered URL, normalized stored HTML line endings to LF, and computed SHA-256."
"DR_LEI64_1977","https://diariodarepublica.pt/dr/detalhe/lei/64-1977-256016","2026-08-21","","","shell_html_not_evidence","Registered URL returned a generic OutSystems HTML shell rather than citable source text."
"INE_HISTORICAL_PUBLICATIONS","https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_publicacoes","2026-08-21","data/raw/source_catalogues/INE_HISTORICAL_PUBLICATIONS.html","c0f7cb7560b730bc3094fdb5fda88785cab22efecc28d138de3aaac19f8ad041","acquired","Downloaded registered URL, normalized stored HTML line endings to LF, and computed SHA-256."
"DGO_CGE_2024_REPORT","https://www.dgo.gov.pt/politicaorcamental/ContaGeraldoEstado/01_CGE2024_Relatorio_AnaliseGlobal_ContaSS.pdf","2026-08-28","data/raw/cge/DGO_CGE_2024_Relatorio_AnaliseGlobal_ContaSS.pdf","385f3ccd4b1823a992959e29b7fb3fa1f56890c026dc10778f00438b077abafb","acquired","Downloaded official DGO CGE 2024 report PDF from the recovered CGE catalogue route and computed SHA-256."
"DGO_CGE_2024_TABLES","https://www.dgo.gov.pt/politicaorcamental/ContaGeraldoEstado/CGE2024_Quadros_Graficos.xlsx","2026-08-28","data/raw/cge/DGO_CGE_2024_Quadros_Graficos.xlsx","fc8017fc9ebe4ed79184bb0ccf4dcf3976d088b9535fb60e195c6ad7cb9e181c","acquired","Downloaded official DGO CGE 2024 companion workbook from the recovered CGE catalogue route and computed SHA-256."
"DGO_CGE_2023_REPORT","https://www.dgo.gov.pt/politicaorcamental/ContaGeraldoEstado/2023/CGE_2023_vol1tomo01.pdf","2026-08-28","data/raw/cge/DGO_CGE_2023_vol1tomo01.pdf","63b1af4397fac148d6acc72007432938f8a95d5c295db197e013ef54fdeb1aa3","acquired","Downloaded official DGO CGE 2023 report PDF from the recovered CGE catalogue route and computed SHA-256."
"DGO_CGE_2023_TABLES","https://www.dgo.gov.pt/politicaorcamental/ContaGeraldoEstado/2023/CGE2023_Quadros_vol1tomo1.xlsx","2026-08-28","data/raw/cge/DGO_CGE_2023_Quadros_vol1tomo1.xlsx","5e1f6dfb94fa514cddb5ea1f97728abe8c827078c27c2d43d989d93f9a21e699","acquired","Downloaded official DGO CGE 2023 companion workbook from the recovered CGE catalogue route and computed SHA-256."
"DGO_CGE_2022_REPORT","https://www.dgo.gov.pt/politicaorcamental/ContaGeraldoEstado/2022/CGE%202022%20vol1tomo01.pdf","2026-08-28","data/raw/cge/DGO_CGE_2022_vol1tomo01.pdf","2d34e7f87d70afad287af8b09af06fbb9e0ab41561d47327686fae5fa41ee618","acquired","Downloaded official DGO CGE 2022 report PDF from the recovered CGE catalogue route and computed SHA-256."
"DGO_CGE_2022_TABLES","https://www.dgo.gov.pt/politicaorcamental/ContaGeraldoEstado/2022/CGE2022_Quadros_vol1tomo01.xlsx","2026-08-28","data/raw/cge/DGO_CGE_2022_Quadros_vol1tomo01.xlsx","f244396f466f8653bd2a86c8cd107266bdf42f6c8e033a980c3b573864458429","acquired","Downloaded official DGO CGE 2022 companion workbook from the recovered CGE catalogue route and computed SHA-256."
"BDP_ESA2010_SERIES","https://www.bportugal.pt/en/comunicado/banco-de-portugal-releases-new-statistical-series","2026-08-21","","","failed","Response status code does not indicate success: 403 (Forbidden)."
