source_id,access_status,redistribution_status,license_or_terms,retrieval_method,archival_reference,clean_room_instruction,repository_action,notes
DGO_OE_ARCHIVE,retrieval_failed_public_url,not_acquired_no_redistribution,Official archive route registered but not acquired because retrieval failed in bounded pass,Retry official DGO archive URL from source_registry download_url,no repository raw file; acquisition failure recorded in source_acquisition_log,Use source_registry download_url and source_acquisition_log failure note to retry with a browser or institutional network,metadata_only_until_acquired_and_terms_verified,Do not redistribute any DGO archive content until acquired and terms reviewed.
CGA_ANNUAL_REPORTS_ARCHIVE,acquired_public_download,permission_unclear_do_not_redistribute,Official archive page publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered CGA archive page from source_registry download_url,source_registry sha256 b8c5dc1d40a8b0e95d4f62607eafacb6f02e1aa26fff437fc9a5f6253d68fd3b,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
CGA_REPORT_2024,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 9c32c61e76beb3d2d165408f1fa8c3135df1dfd7a4f908c9a932424e6a67f8b6,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2023,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 85fbb2cce0614a498b653c8d1b3bdf8aedb8b62f025d5f75d5016b832df6a780,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2022,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 1b0534dc566554e5552ced83edd98b4667ce07f08382030e7d13ed1d35dbe21f,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2021,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 2eb34ec9f3f8395b835bbab972609595973d81d7cb472d054bcd6d11a3d5adb4,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2020,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 c2f38f94562b435d53445f32160eee3f8bfab8cb405c6b7e164a769ae9b588ca,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2019,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 d1cddb2be48ee7b2e68d0fab5fdda4cbefaa6ffd4558124177e922b9aad4ef26,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2018,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 2220e00ffa8f293295437fd63fdc6ac17fb86444f08e22ff1727904d0a97043f,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2017,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 aa2faf17a9ca2f44b1c9777ddf94e2d722104ddff9174d6c14e5e6350a307567,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2016,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 94d6e123a50563c28aaaec20a6044a79d2d5c6b55cd916d2f2d44b49354dfbf3,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2015,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 e2e78ab9600edc5cb7c33bfcab60515f573c81dedb1f4a271547fa2453d14382,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2014,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 9b900d2d4cfd0dfd474b82b3548d4d5d340de6d951f2824ad1a37dca7b2b4aef,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2013,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 b5a598dfd651cd7f2e1df7beae5a924ef8c4bad71a8785960244da2c7c6751f1,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2012,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 2d5128f40218888edb429a0d5245f8e54550a5d3923daa6356a1b8b4e1170306,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
CGA_REPORT_2011,acquired_public_download,permission_unclear_do_not_redistribute,Official annual report publicly accessible; source-specific redistribution terms not captured in repository,Download the registered CGA annual report PDF from source_registry download_url,source_registry sha256 55539f9c57a7509a2111144dd364b926e3a2e1fbb53cac8bf90bff3a0f87550a,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite the CGA report URL and hash rather than republish the raw PDF unless reuse terms are confirmed.
IGFSS_CSS_ARCHIVE,acquired_public_download,permission_unclear_do_not_redistribute,Official Social Security archive page publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered IGFSS page from source_registry download_url,source_registry sha256 dfd2f8b030adaec53612bed715804fe0fcff60a9b54b751f767ad1eb4bac0c25,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
DGAEP_SIEP_ARCHIVE,acquired_public_download,permission_unclear_do_not_redistribute,Official statistical archive page publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered DGAEP SIEP page from source_registry download_url,source_registry sha256 f3f429076031143c2eccf71e77370572143c7ddefe444c9987687a8f636c173f,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
DGAEP_BOEP_ARCHIVE,acquired_public_download,permission_unclear_do_not_redistribute,Official statistical archive page publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered DGAEP BOEP page from source_registry download_url,source_registry sha256 b23c1a307e44a6e0f52bc4936b11e29503ea35e343bda646413cdd77770f07f1,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
DR_LEI64_1977,registered_public_url,not_acquired_no_redistribution,Official legal text publicly accessible; no raw file is stored in repository,Open the registered DR detail page from source_registry download_url,no repository raw file; metadata-only source_registry citation,Use source_registry download_url and record retrieval date plus hash if a raw copy is acquired,metadata_only_until_acquired_and_terms_verified,Current clean-room route is direct DR retrieval rather than repository redistribution.
INE_HISTORICAL_PUBLICATIONS,acquired_public_download,permission_unclear_do_not_redistribute,Official statistical publication catalogue publicly accessible; source-specific redistribution terms not captured in repository,Download or save the registered INE catalogue page from source_registry download_url,source_registry sha256 c0f7cb7560b730bc3094fdb5fda88785cab22efecc28d138de3aaac19f8ad041,Use source_registry download_url and verify the source_registry sha256 before extraction,exclude_raw_from_public_release_until_terms_verified; retain_metadata_hash_and_citation,Public release should cite official page and hash rather than republish stored HTML unless reuse terms are confirmed.
BDP_ESA2010_SERIES,registered_public_url,not_acquired_no_redistribution,Banco de Portugal page publicly accessible; no raw file is stored in repository,Open the registered Banco de Portugal page from source_registry download_url,no repository raw file; metadata-only source_registry citation,Use source_registry download_url and record retrieval date plus hash if a raw copy is acquired,metadata_only_until_acquired_and_terms_verified,Current clean-room route is direct Banco de Portugal retrieval rather than repository redistribution.
