concept_id,source_label,canonical_name,concept_class,definition,valid_from,valid_to,institutional_perimeter,accounting_basis,source_id,source_definition_status,sign_convention,internal_variable_names,material_flow_columns,ambiguous_label_guard,notes
INVESTMENT_INCOME,rendimentos de investimento,investment_income,flow,Investment or asset income attributable to the institutional ledger or transferred-asset reserve,1977,,CGA Social Security or special regime accounts,cash/accounting,,working_definition_requires_source,positive_revenue_when_received,investment_income;attributable_investment_income,data/processed/cga_financing_ledger.csv:investment_income;data/processed/bank_transfer_long_run.csv:attributable_investment_income,Income must state whether accrued or cash received,Do not net against expenditure before reconciliation
ASSET_DRAWDOWN,utilização de ativos,asset_drawdown,flow,Use of transferred assets or reserve assets to finance pension payments,2011,,Special pension regime financing ledger,cash/stock-flow,,working_definition_requires_source,positive_financing_source,asset_drawdown,data/processed/bank_transfer_long_run.csv:asset_drawdown,Asset use must identify stock source and receiving payment ledger,Separate financing source from expenditure
OTHER_FINANCING,outro financiamento,other_financing,flow,Residual financing source explicitly identified outside transfers income or asset drawdown,1977,,Institutional or special regime accounts,cash/accounting,,working_definition_requires_source,positive_financing_source,other_financing,data/processed/bank_transfer_long_run.csv:other_financing,Financing label must name source or remain unresolved,Do not treat residual financing as causal evidence
TIMING_ADJUSTMENT,ajustamento temporal,timing_adjustment,adjustment,Timing or accrual-to-cash adjustment needed to reconcile legal due withheld received and account-recognized amounts,1977,,Institutional accounts,legal/cash bridge,,working_definition_requires_source,signed_reconciliation_adjustment,timing_adjustments;timing_adjustment,data/processed/employee_remittance_audit.csv:timing_adjustments;data/processed/employer_contribution_audit.csv:timing_adjustments;data/processed/bank_transfer_long_run.csv:timing_adjustment,Adjustment must state direction and bridge basis,Timing adjustments cannot be presented as missing remittance without source support
FINANCING_RESIDUAL,resíduo de reconciliação,financing_residual,residual,Identity residual after recorded components are applied under the stated sign convention,1977,,Institutional or bridge ledger,cash/accounting,,"derived_accounting_bridge",signed_reconciliation_residual,identity_residual;reconciliation_residual,data/processed/cga_financing_ledger.csv:identity_residual;data/processed/bank_transfer_long_run.csv:reconciliation_residual,Deficit or balance labels must state identity and perimeter,Residuals are diagnostics not substantive findings
ESA_DEFICIT,défice em SEC,esa_deficit,national_accounts_measure,National-accounts deficit concept under ESA standards distinct from institutional cash balances,1995,,General government,ESA national accounts,,working_definition_requires_source,negative_for_deficit_increase,esa_deficit;deficit_effect_percent_gdp,data/processed/bank_esa_treatment_bridge.csv:deficit_effect_percent_gdp,Deficit must state ESA version perimeter and sign,ESA-95 and ESA-2010 treatments may classify the same transaction differently
BANK_ASSET_TRANSFER,ativos transferidos,bank_pension_asset_transfer,stock,Assets transferred from bank pension funds to the State in connection with specified pension liabilities,2011,,State and private pension funds,stock/financial,DR_DL127_2011,source_defined,positive_asset_received_by_public_sector,assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;transfer_value,data/processed/bank_asset_liability_audit.csv:assets_transferred_total;data/processed/bank_asset_liability_audit.csv:cash_transferred;data/processed/bank_asset_liability_audit.csv:portuguese_public_debt_transferred;data/processed/bank_asset_liability_audit.csv:other_assets_transferred;data/processed/bank_asset_trace.csv:transfer_value,Asset transfer must be paired with liability perimeter and valuation date,Must be tracked with corresponding pension obligations
PENSION_LIABILITY,responsabilidade por pensões,pension_liability,stock,Present value or legal valuation of pension obligations for the stated population valuation date and discount basis,2011,,CGA Social Security banks or general government depending on row,actuarial/financial,,working_definition_requires_source,positive_liability_stock,liability_pv_legal_4pct;liability_pv,data/processed/bank_asset_liability_audit.csv:liability_pv_legal_4pct;data/processed/bank_asset_liability_sensitivity.csv:liability_pv,Liability must state discount rate mortality and population perimeter,Do not compare directly with cash expenditure
LEGAL_GAP,desvio legal,legal_gap,residual,Gap between a legal contribution obligation and recorded or withheld amount after timing base and perimeter adjustments,1977,,CGA or RGSS legal compliance perimeter,legal/cash bridge,,working_definition_requires_source,signed_reconciliation_residual,unexplained_remittance_gap;legal_compliance_gap,data/processed/employee_remittance_audit.csv:unexplained_remittance_gap;data/processed/employer_contribution_audit.csv:legal_compliance_gap,Gap must distinguish legal compliance from economic benchmark,Requires source-supported obligation and receipt fields
ECONOMIC_BENCHMARK_GAP,desvio face ao benchmark económico,economic_benchmark_gap,residual,Gap between observed employer contribution revenue and an economic benchmark rate calculation,1977,,Employer class benchmark perimeter,legal/economic bridge,,working_definition_requires_source,signed_reconciliation_residual,economic_benchmark_gap,data/processed/employer_contribution_audit.csv:economic_benchmark_gap,Benchmark gap must not be described as legal non-compliance,Keep separate from legal gap
