year,source_id,unit,price_basis,accounting_basis,perimeter,employee_quotations,employer_contributions,state_budget_transfers,other_public_transfers,investment_income,pension_expenditure,other_benefits,administration,contributor_count,pensioner_count,contribution_base_payroll,published_additional_state_transfer,reported_global_balance,pt_pension_fund_effect,reported_global_balance_ex_pt_fund,identity_residual,full_identity_status,balance_decomposition_residual,missing_components,status,notes
1987,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1988,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1989,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1990,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1991,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1992,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1993,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1994,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1995,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1996,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1997,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1998,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1999,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2000,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2001,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2002,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2003,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2004,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2005,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2006,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2007,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2008,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2009,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2010,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2011,DGO_CGE_2011,EUR_million,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,172.6,186.2,476.7,-290.6,,blocked_missing_components,0.1,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,partial_cge_extract,CGE 2011 volume 1 reports CGA global balance PT pension-fund effect and additional State transfer but not a full component ledger.
2012,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2013,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2014,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2015,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2016,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2017,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2018,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2019,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2020,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2021,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2022,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2023,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2024,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
2025,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
