year,perimeter,unit,price_basis,accounting_basis,legal_worker_rate_total,legal_worker_liability,withheld_from_payroll,recorded_cga_worker_revenue,timing_adjustments,arrears_corrections,base_definition_adjustment,perimeter_adjustment,unexplained_remittance_gap,source_ids,legal_rate_basis,missing_inputs,claim_permitted,status,notes
1990,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1991,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1992,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1993,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1994,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1995,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1996,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1997,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1998,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
1999,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
2000,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
2001,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
2002,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
2003,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
2004,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
2005,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,blocked_missing_primary_law_rate_history,legal_worker_rate_total;contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_legal_payroll_and_revenue_data,No remittance gap can be computed because legal rate payroll withholding and CGA worker-quota revenue inputs are not all extracted.
2006,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.100,,,,,,,,,TC_ACORDAO_255_2020;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2007,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.100,,,,,,,,,TC_ACORDAO_255_2020;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2008,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.100,,,,,,,,,TC_ACORDAO_255_2020;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2009,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.100,,,,,,,,,TC_ACORDAO_255_2020;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2010,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.100,,,,,,,,,TC_ACORDAO_255_2020;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2011,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,TC_ACORDAO_362_2016;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2012,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,TC_ACORDAO_362_2016;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2013,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,TC_ACORDAO_255_2020;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2014,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2015,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2016,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2017,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2018,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2019,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2020,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2021,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2022,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2023,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2024,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012;DGO_CGE_ARCHIVE;CGA_ANNUAL_REPORTS_ARCHIVE,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
2025,CGA convergent public-sector protection regime,EUR_million,current_prices,legal_cash_reconciliation,0.110,,,,,,,,,DR_EA_CONSOLIDATED;CGA_ORGANIC_2012,bounded_legal_registry_worker_total,contribution_base_payroll;withheld_from_payroll;recorded_cga_worker_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment,no,blocked_missing_payroll_and_revenue_data,Legal worker quota rate is identified from registered legal-history evidence but payroll deductions and CGA worker-quota revenue are not separately extracted.
