year,employer_class,unit,price_basis,accounting_basis,legal_employer_rate_total,legal_due,recorded_cga_employer_revenue,timing_adjustments,arrears_corrections,base_definition_adjustment,perimeter_adjustment,legal_compliance_gap,economic_benchmark_rate_total,economic_benchmark_due,economic_benchmark_gap,source_ids,legal_rate_basis,economic_benchmark_basis,missing_inputs,claim_permitted,status,notes
1981,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1981,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1981,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1981,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1982,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1982,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1982,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1982,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1983,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1983,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1983,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1983,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1984,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1984,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1984,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1984,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1985,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1985,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1985,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1985,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1986,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1986,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1986,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1986,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1987,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1987,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1987,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1987,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1988,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1988,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1988,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1988,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1989,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1989,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1989,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1989,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1990,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1990,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
