series_id,year,definition_id,definition_role,component,value,unit,source_ids,component_bridge_ids,sign_effect_class,replication_status,blocking_issue,notes
WG2026_REPORTED_SERIES,2017,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2018,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2019,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2020,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2021,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2022,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2023,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2024,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2025,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_2025_ADJUSTED_DEFICIT,2025,published_working_group_adjusted_2025,published_definition,adjusted_current_balance_deficit,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_EARLY_RETIREMENT_ADJUSTMENT;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary adjustment bridge missing,Specific 2025 adjusted-deficit value remains blocked until the working-group bridge is registered
ALT_CGA_ONLY_2025,2025,alternative_cga_only,alternative_perimeter,total_balance,,EUR_million,missing_primary_report,BR_CGA_BALANCE,sign_relevant,blocked_primary_source_missing,primary CGA annual balance series missing,Preregistered alternative perimeter without source-data alteration
ALT_CGA_PREVIDENTIAL_UNADJUSTED_2025,2025,alternative_cga_plus_previdential_unadjusted,alternative_perimeter,total_balance,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE,sign_relevant,blocked_primary_source_missing,primary CGA and previdential annual balance series missing,Preregistered alternative perimeter before working-group adjustments
ALT_CGA_PREVIDENTIAL_FEFSS_2025,2025,alternative_cga_plus_previdential_plus_fefss,alternative_perimeter,total_balance,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_FEFSS_FLOW_ALTERNATIVE,sign_relevant,blocked_primary_source_missing,primary FEFSS annual flow bridge missing,Preregistered alternative perimeter with FEFSS component visible
ALT_BANK_SPECIAL_SENSITIVITY_2025,2025,bank_special_regime_sensitivity,sensitivity,total_balance_including_visible_bank_obligations,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_BANK_SPECIAL_SENSITIVITY,sensitivity_only,blocked_primary_source_missing,primary bank special-regime annual bridge missing,Bank-special-regime obligations remain a separate sensitivity not folded into the published-definition claim
